2602159001,5467156.6125,325617.6086,360.0000,PHOTO IMG_9002.JPG
2602159002,5467156.6125,325617.6086,360.0000,PHOTO IMG_8998.JPG
2602159003,5467156.6125,325617.6086,360.0000,PHOTO IMG_8999.JPG
2602159004,5479293.6880,325620.2610,364.8000,PHOTO IMG_8996.JPG
2602159005,5467156.6125,325617.6086,360.0000,PHOTO IMG_9001.JPG
2602159006,5479293.6880,325620.2610,364.8000,PHOTO IMG_8997.JPG
2602159007,5455488.9928,331540.2466,354.8000,PHOTO gsp21 - 321
2602159008,5448786.5533,318717.0799,349.8521,PHOTO gsp20 - 320
2602159009,5448793.0599,318726.0095,344.7000,PHOTO gsp20 - 320
2602159010,5452236.1548,296923.9561,354.8000,PHOTO gsp19 - 319
2602159011,5455488.9928,331540.2466,354.8000,PHOTO IMG_9003.JPG
2602159012,5452236.1548,296923.9561,354.8000,PHOTO gsp19 - 319
2602159013,5463717.8165,297310.7546,354.8000,PHOTO gsp18 - 318
2602159014,5465970.6322,707221.6862,389.8000,PHOTO gsp17 - 317
2602159015,5463717.8165,297310.7546,354.8000,PHOTO gsp18 - 318
2602159016,5465970.6322,707221.6862,389.8000,PHOTO gsp17 - 317
2602159017,5484009.9647,706531.3712,349.1024,PHOTO gsp15 - 315
2602159018,5484009.3660,706540.0579,347.6628,PHOTO gsp15 - 315
2602159019,5502258.5548,284716.2224,312.6985,PHOTO gsp12 - 312
2602159020,5502255.7759,284716.1121,312.8135,PHOTO gsp12 - 312
2602159021,5475886.4741,712069.1568,344.4616,PHOTO gsp16 - 316
2602159022,5475892.0942,712070.5534,342.7135,PHOTO gsp16 - 316
2602159023,5502248.3004,284725.2556,313.9715,PHOTO gsp12 - 312
2602159024,5495245.6617,287606.2608,321.4109,PHOTO gsp13 - 313
2602159025,5495236.1423,287596.6383,320.5951,PHOTO gsp13 - 313
2602159026,5495236.2757,287593.2249,320.9756,PHOTO gsp13 - 313
2602159027,5488179.4726,289944.1363,317.9702,PHOTO gsp14 - 314
2602159028,5488179.4726,289944.1363,317.9702,PHOTO gsp14 - 314
2602159029,5482210.7240,316543.2126,341.4180,PHOTO gsp24 - 324
2602159030,5482209.6039,316539.7499,341.8759,PHOTO gsp24 - 324
2602159031,5479300.2555,325608.1760,360.6061,PHOTO gsp23-1 - 323-1
2602159032,5479301.6706,325602.5778,360.4295,PHOTO gsp23-1 - 323-1
2602159033,5479306.2382,325614.4135,349.9000,PHOTO gsp23-1 - 323-1
2602159034,5554444.3762,312847.8729,0.0000,PHOTO NavPhoto_20251304121341.jpg
2602159035,5554756.0842,293810.2167,0.0000,PHOTO NavPhoto_20251504111543.jpg
2602159036,5554439.5737,312847.2869,0.0000,PHOTO NavPhoto_20251304121335.jpg
2602159037,5582088.2509,711362.4909,0.0000,PHOTO NavPhoto_20251703111709.jpg
2602159038,5554788.1040,293817.8779,0.0000,PHOTO NavPhoto_20251504111505.jpg
2602159039,5582080.3794,711375.2522,0.0000,PHOTO NavPhoto_20251703111723.jpg
2602159040,5554475.7888,709958.7352,0.0000,PHOTO NavPhoto_20251804101834.jpg
2602159041,5579107.4844,304793.9389,0.0000,PHOTO NavPhoto_20252103022159.jpg
2602159042,5579120.2692,304796.0730,0.0000,PHOTO NavPhoto_20252203022215.jpg
2602159043,5503369.9703,298383.5363,0.0000,PHOTO NavPhoto_20252304022301.jpg
2602159044,5605303.3504,696669.7239,0.0000,PHOTO NavPhoto_20253103123102.jpg
2602159045,5503369.5047,298386.9118,0.0000,PHOTO NavPhoto_20252204022252.jpg
2602159046,5573987.5208,703428.1623,0.0000,PHOTO NavPhoto_20253203103206.jpg
2602159047,5573975.5551,703427.4126,0.0000,PHOTO NavPhoto_20253203103221.jpg
2602159048,5605283.2612,696662.5982,0.0000,PHOTO NavPhoto_20253103123126.jpg
2602159049,5503370.2841,298385.0737,0.0000,PHOTO NavPhoto_20253404023435.jpg
2602159050,5558545.3624,710028.5150,0.0000,PHOTO NavPhoto_20254204104257.jpg
2602159051,5558546.2459,710047.0038,0.0000,PHOTO NavPhoto_20254204104239.jpg
2602159052,5503369.3547,298386.7858,0.0000,PHOTO NavPhoto_20253404023445.jpg
2602159053,5561545.7992,306259.5777,0.0000,PHOTO NavPhoto_20254504114537.jpg
2602159054,5588171.3875,309455.0768,0.0000,PHOTO NavPhoto_20254603014651.jpg
2602159055,5561520.8739,306269.8702,0.0000,PHOTO NavPhoto_20254604114605.jpg
2602159056,5596484.2631,706722.0729,0.0000,PHOTO NavPhoto_20255203115228.jpg
2602159057,5588172.8191,309468.5241,0.0000,PHOTO NavPhoto_20254703014709.jpg
2602159058,5566796.7058,707870.3090,0.0000,PHOTO NavPhoto_20255403095456.jpg
2602159059,5596464.2570,706695.3907,0.0000,PHOTO NavPhoto_20255303115301.jpg
2602159060,5571268.5980,295570.2783,0.0000,PHOTO NavPhoto_20255303025311.jpg
2602159061,5571272.0474,295567.4373,0.0000,PHOTO NavPhoto_20255503025555.jpg
2602159062,5566785.2705,707859.4256,0.0000,PHOTO NavPhoto_20255503095516.jpg
2602159063,5571265.1564,295569.7095,0.0000,PHOTO NavPhoto_20255503025543.jpg
